epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.63425,2.21582,3.93792,1.79014,0.00334,0.4,0.00986,0.00417,1.62906,3.80008,1.37382,2e-05,2e-05,2e-05
2,8.28762,1.82381,3.76348,1.64888,0.00313,0.36875,0.00885,0.00367,1.63085,3.80746,1.36912,2.525e-05,2.525e-05,2.525e-05
