epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.642,1.51347,3.21517,1.58135,0.0198,0.67979,0.50343,0.38284,1.32527,3.51332,1.40847,0.00024543,0.00024543,0.00024543
2,309.079,1.2515,1.80073,1.34256,0.95945,0.3847,0.57481,0.38667,1.30868,2.2483,1.32315,0.000450455,0.000450455,0.000450455
3,455.108,1.09791,1.41322,1.21792,0.70682,0.57315,0.72737,0.4986,1.14753,1.68888,1.20164,0.000605085,0.000605085,0.000605085
4,601.693,1.04272,1.26188,1.1761,0.63531,0.73156,0.7279,0.52464,1.02048,1.52146,1.13774,0.000639027,0.000639027,0.000639027
5,733.483,0.97184,1.16245,1.13141,0.82452,0.70018,0.77445,0.56433,0.99322,1.29117,1.11303,0.000549036,0.000549036,0.000549036
6,865.914,0.90997,1.07581,1.09619,0.83004,0.74586,0.81106,0.56932,0.99344,1.20599,1.10316,0.000459045,0.000459045,0.000459045
7,1002.53,0.85946,1.03121,1.07292,0.75849,0.76388,0.80978,0.58566,0.9516,1.11861,1.08325,0.000369054,0.000369054,0.000369054
8,1130.12,0.7995,0.97599,1.04584,0.83529,0.78067,0.83816,0.59649,1.007,1.08222,1.09139,0.000279063,0.000279063,0.000279063
9,1253.96,0.77931,0.95946,1.03029,0.83733,0.81007,0.85235,0.63215,0.90638,1.06918,1.06368,0.000189072,0.000189072,0.000189072
10,2646.23,0.74916,0.92535,1.01833,0.86788,0.7701,0.86511,0.63633,0.93097,1.04058,1.0621,9.9081e-05,9.9081e-05,9.9081e-05
