epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.726,2.70248,3.9946,2.43846,0.00056,0.16667,0.08995,0.04017,2.3607,3.93744,2.16216,0.000323529,0.000323529,0.000323529
2,1054.31,1.97165,2.98475,1.81634,0.80391,0.12037,0.25517,0.10247,2.03827,3.23813,1.89373,0.00061351,0.00061351,0.00061351
3,1171.15,1.85274,2.33139,1.69883,0.72649,0.33352,0.39411,0.19589,2.0272,2.47663,1.84936,0.00085949,0.00085949,0.00085949
4,1298.02,1.74259,1.97822,1.61588,0.57059,0.54425,0.56979,0.30327,1.72606,1.95192,1.6046,0.000802,0.000802,0.000802
5,1411.14,1.62797,1.73101,1.5283,0.72881,0.53677,0.63235,0.32516,1.78054,1.97407,1.65912,0.000736,0.000736,0.000736
6,1524.96,1.44274,1.78504,1.44382,0.86969,0.5895,0.70378,0.40487,1.61206,1.59336,1.56789,0.00067,0.00067,0.00067
7,1637.54,1.33034,1.52901,1.35164,0.69709,0.68919,0.73198,0.43726,1.47938,1.40305,1.46255,0.000604,0.000604,0.000604
8,1752.18,1.26687,1.40175,1.2972,0.70912,0.76439,0.76355,0.47073,1.42767,1.33528,1.4075,0.000538,0.000538,0.000538
9,1865.78,1.20068,1.31374,1.25722,0.8191,0.73331,0.76337,0.48059,1.38352,1.25046,1.43656,0.000472,0.000472,0.000472
