epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.615,3.01158,4.07123,2.69048,0.00084,0.16123,0.01539,0.00297,2.8051,4.26694,2.60701,9e-05,9e-05,9e-05
2,55.4618,2.5055,3.81319,2.25155,0.00087,0.16486,0.03412,0.00624,2.64563,4.26674,2.48229,0.00015238,0.00015238,0.00015238
3,78.2201,2.23109,3.6104,2.0174,0.00084,0.16667,0.03548,0.00656,2.51197,4.22494,2.35577,0.00017516,0.00017516,0.00017516
4,101.278,2.13319,3.40211,1.83891,0.90806,0.02174,0.03608,0.00756,2.46275,4.13447,2.24296,0.00015834,0.00015834,0.00015834
5,124.283,2.11684,3.37437,1.81081,0.88509,0.01812,0.03468,0.00762,2.42135,4.03852,2.14157,0.00010192,0.00010192,0.00010192
